TestName,AgentCount,ObstacleCount,UpdateRate,TestDuration,AverageFPS,MinFPS,MaxFPS,AverageFrameTime,MinFrameTime,MaxFrameTime,AverageMemoryMB,PeakMemoryMB,AverageCpuUsage,MaxCpuUsage,AverageMainThreadTime,AverageRenderThreadTime,AverageGPUTime,AverageGfxMemoryMB,AverageDrawCalls,AverageTriangles,AverageVertices
AgentScaling_10,10,0,0.000,5.96,301.39,7.31,371.04,5.87,2.70,136.87,617.00,618.00,15.51,23.12,5.87,1.96,2.73,326.00,20,3840,1940
AgentScaling_100,100,0,0.000,5.98,205.43,7.24,303.37,13.08,3.30,138.17,618.00,620.00,16.06,23.44,13.08,5.02,9.07,377.00,110,38400,19400
